Epoch,Train_Loss,Val_Score
753,0.2414,0.6867
754,0.2391,0.6863
755,0.2401,0.6871
756,0.2383,0.6902
757,0.2459,0.6919
758,0.2408,0.6890
759,0.2351,0.6850
760,0.2470,0.6874
761,0.2410,0.6906
762,0.2358,0.6904
763,0.2557,0.6949
764,0.2377,0.6949
765,0.2523,0.6958
766,0.2372,0.6975
767,0.2392,0.6955
768,0.2357,0.6944
769,0.2389,0.6933
770,0.2415,0.6957
771,0.2338,0.6971
772,0.2410,0.6986
773,0.2358,0.6962
774,0.2350,0.6962
775,0.2375,0.6955
776,0.2371,0.6950
777,0.2357,0.6943
778,0.2380,0.6946
779,0.2328,0.6961
780,0.2417,0.6951
781,0.2329,0.6932
782,0.2352,0.6951
783,0.2542,0.6995
784,0.2349,0.6968
785,0.2375,0.6948
786,0.2326,0.6943
787,0.2317,0.6966
788,0.2306,0.6953
789,0.2342,0.6968
790,0.2379,0.6946
791,0.2325,0.6945
792,0.2335,0.6963
793,0.2345,0.6951
794,0.2344,0.6979
795,0.2321,0.6967
796,0.2345,0.6954
797,0.2346,0.6910
